"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-11","57","62","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-12","55","69","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-13","66","72","39"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-14","44","51","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-15","46","53","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-16","41","49","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-17","37","43","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-18","36","41","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-19","40","51","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-20","45","52","41"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-21","55","68","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-22","52","53","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-23","63","84","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-24","70","73","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-25","53","54","41"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-26","43","51","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-27","38","41","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-28","42","50","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-29","53","66","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-30","58","69","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-01","55","56","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-02","50","54","48"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-03","48","50","44"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-04","46","56","39"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-05","48","53","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-06","49","53","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-07","54","64","43"
