"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-21",,"91","74"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-22",,"77","71"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-23",,"81","73"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-24",,"88","73"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-25",,"91","71"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-26",,"92","73"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-27",,"95","75"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-28",,"96","76"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-29",,"94","75"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-30",,"88","74"
"USW00053975","LANCASTER AIRPORT, TX US","2022-08-31",,"90","72"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-02",,"81","73"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-03",,"94","70"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-04",,"95","69"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-05",,"93","65"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-06",,"94","73"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-07",,"94","70"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-08",,"90","71"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-09",,"89","64"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-10",,"89","60"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-11",,"85","66"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-12",,"80","62"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-13",,"90","69"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-14",,"89","59"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-15",,"89","56"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-16",,"92","64"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-17",,"94","73"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-18",,"95","72"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-19",,"95","69"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-20",,"96","69"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-21",,"97","67"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-22",,"98","64"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-23",,"97","69"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-24",,"96","73"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-25",,"96","69"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-26",,"86","58"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-27",,"89","53"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-28",,"91","57"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-29",,"81","60"
"USW00053975","LANCASTER AIRPORT, TX US","2022-09-30",,"81","54"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-01",,"82","45"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-02",,"83","47"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-03",,"84","48"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-04",,"85","51"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-05",,"87","51"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-06",,"89","55"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-07",,"86","59"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-08",,"79","61"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-09",,"83","57"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-10",,"88","59"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-11",,"85","62"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-12",,"95","67"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-13",,"83","55"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-14",,"88","49"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-15",,"93","69"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-16",,"76","64"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-17",,"71","52"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-18",,"65","42"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-19",,"67","33"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-20",,"86","43"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-21",,"91","44"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-22",,"87","63"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-23",,"86","69"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-24",,"75","58"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-25",,"68","45"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-26",,"72","42"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-27",,"74","44"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-28",,"61","53"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-29",,"65","55"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-30",,"72","53"
"USW00053975","LANCASTER AIRPORT, TX US","2022-10-31",,,"53"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-03",,"80","71"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-04",,"78","49"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-05",,"64","44"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-06",,"81","49"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-07",,"76","63"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-08",,"79","67"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-09",,"82","66"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-10",,"74","61"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-11",,"66","40"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-12",,"40","36"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-17",,"59","41"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-18",,"50","32"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-19",,"42","32"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-20",,"51","28"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-21",,"52","41"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-22",,"60","45"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-23",,"56","49"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-24",,"58","53"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-25",,"56","51"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-26",,"55","47"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-27",,"62","42"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-28",,"68","36"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-29",,"80","44"
"USW00053975","LANCASTER AIRPORT, TX US","2022-11-30",,"51","35"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-01",,"52","30"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-02",,"66","48"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-03",,"63","47"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-04",,"58","47"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-05",,"76","51"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-06",,"77","63"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-07",,"78","65"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-08",,"78","62"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-09",,"66","61"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-10",,"76","55"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-11",,"59","52"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-12",,"63","54"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-13",,"70","46"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-14",,"59","38"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-15",,"55","36"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-16",,"47","32"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-17",,"51","30"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-18",,"54","26"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-19",,"48","42"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-20",,"55","40"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-21",,"51","32"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-22",,"45","12"
"USW00053975","LANCASTER AIRPORT, TX US","2022-12-23",,"24","11"
